Date,Month,Year,month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,Neighborhood
2021-06,06,2021,202106,98104,"seattle, wa",,709950,-0.1125,0.0456,47,-0.0784,0.4688,68,0.172413793,-0.444897959,12,0,0.5,0,,,4,0,-0.5,22,0,1.75,883.977224,-0.0172,0.0833,906,-0.0679,-0.03,1503082.816,0.0252,-0.0825,69,-0.0548,0.725,0.468085106,0.0367,0.2181,Pioneer Square
2021-06,06,2021,202106,98103,"seattle, wa",,719990,-0.0204,0.0512,75,0.2097,-0.1935,27,-0.181818182,-0.068965517,116,0.3182,0.3182,0,,,20,0.25,0,115,0.2366,0.4557,571.9264693,0.0216,0.0119,1199.5,-0.0737,0.0071,841869.3721,0.0182,0.1196,190,0.2258,0.1047,1.533333333,0.0333,0.6839,Greenlake
2021-06,06,2021,202106,98109,"seattle, wa",,702000,0.0189,-0.1588,66,0.1379,-0.1951,27.5,-0.214285714,-0.214285714,52,-0.0714,0.1818,0,,,12,-0.4,-0.4,56,0.098,0.8065,665.2789342,0.0708,-0.0027,1048.5,-0.008,-0.1578,1098175.421,0.0164,-0.0872,122,0.1193,0.0796,0.848484848,-0.0308,0.4704,Queen Anne
2021-06,06,2021,202106,98133,"seattle, wa",,621000,0.0351,0.0024,33,0.1379,-0.4677,19.5,-0.303571429,-0.458333333,60,0.0714,0.0714,0,,,4,0,-0.6667,65,-0.058,0.1607,416.5988037,-0.0148,0.0799,1340,-0.0133,-0.0884,645083.3663,0.0137,0.0778,98,0,-0.1695,1.96969697,-0.4096,1.0665,Northgate
2021-06,06,2021,202106,98101,"seattle, wa",,799999,0.1269,0.0895,51,-0.0893,-0.3014,73,0.140625,0.659090909,24,1,-0.4545,0,,,0,-1,-1,26,0.3684,0.4444,995.3013592,0.0484,0.0112,959,0.3264,0.1688,1603607.672,0.2274,0.4327,77,0.0267,-0.1538,0.509803922,0.1705,0.2632,Downtown
2021-06,06,2021,202106,98144,"seattle, wa",,748999.5,0.0476,0.0587,54,0.1739,-0.1818,28.5,-0.185714286,-0.06557377,80,0.6667,0.4286,0,,,8,0,-0.3333,67,0.1356,0.5227,523.4093637,-0.0146,-0.0347,1406,0.0331,0.0338,1084699.38,0.0457,-0.0428,121,0.1524,0.1,1.240740741,-0.0419,0.5741,Mount Baker
2021-06,06,2021,202106,98198,"seattle, wa",,485000,-0.0849,0.1011,19,-0.0952,-0.5581,30.5,0.051724138,-0.207792208,24,-0.4,-0.4545,0,,,4,,-0.5,61,-0.1159,0.1091,321.9756538,0.0349,0.1976,1346,-0.2395,-0.2844,521389.6465,-0.0777,0.0318,80,-0.1111,-0.1837,3.210526316,-0.0752,1.9315,Mount Baker
2021-06,06,2021,202106,98125,"seattle, wa",,720000,-0.0684,0.0473,30,0.25,-0.1176,21,-0.363636364,-0.31147541,64,0.3333,1.6667,0,,,0,,-1,59,0.18,0.6857,433.6612373,0.0083,0.072,1569,-0.1925,-0.0224,816270.6565,-0.0896,0.1002,89,0.2027,0.2899,1.966666667,-0.1167,0.9373,Northgate
2021-06,06,2021,202106,98126,"seattle, wa",,637475,-0.0413,-0.0556,42,0.1351,-0.1765,34,0.172413793,0.133333333,48,-0.1429,0,0,,,4,-0.6667,-0.8333,53,-0.0364,0.5143,443.4063071,0.0331,0.0456,1410,0.0144,-0.0662,810481.1364,0.0064,0.0644,95,0.0326,0.1047,1.261904762,-0.2246,0.5756,Northgate
2021-06,06,2021,202106,98112,"seattle, wa",,1400000,0,0.0566,42,-0.087,-0.0233,36,0.090909091,-0.027027027,44,-0.1538,0.2222,0,,,4,-0.75,-0.6667,54,0.0385,0.8,655.3434656,0.0194,0.0653,2335.5,0.0422,-0.0805,1784146.014,0.005,-0.0877,96,-0.0204,0.3151,1.285714286,0.1553,0.588,Madrona
2021-06,06,2021,202106,98177,"seattle, wa",,1144000,-0.0848,-0.0052,14,0.0769,-0.6,16,0.066666667,-0.507692308,24,-0.1429,-0.25,0,,,4,0,0,41,0.3667,0.7826,459.989858,-0.0259,0.1225,2510,-0.0456,-0.0214,1386831.799,-0.0206,0.1172,55,0.2791,-0.0517,2.928571429,0.6209,2.2714,Mount Baker
2021-06,06,2021,202106,98168,"seattle, wa",,492475,0.026,0.0104,21,0.1667,-0.3824,29,0.074074074,-0.09375,24,0,-0.25,0,,,12,0.5,-0.25,35,-0.1667,0.129,331.0344828,0.0894,0.2581,1270,-0.1589,-0.3075,509135.5431,-0.0187,0.0509,56,-0.0667,-0.1385,1.666666667,-0.6667,0.7549,Mount Baker
2021-06,06,2021,202106,98146,"seattle, wa",,639950,-0.0155,0.0684,28,0.1667,-0.4717,16.5,-0.25,-0.528571429,44,0,0,0,,,8,,-0.3333,45,0.0714,0.7308,351.1930783,-0.0207,0.0798,1825,-0.1054,-0.044,698091.9903,-0.0618,-0.1306,73,0.1061,-0.0759,1.607142857,-0.1429,1.1166,Mount Baker
2021-06,06,2021,202106,98199,"seattle, wa",,1074997.5,-0.14,-0.1004,31,0.2917,-0.2051,17.5,-0.3,-0.444444444,56,0.4,0.5556,0,,,4,0,-0.6667,59,0.2041,0.2553,551.482011,0.0043,0.0577,1925,-0.0655,-0.3529,1445523.104,-0.0592,-0.2379,90,0.2329,0.0465,1.903225806,-0.1384,0.6981,Magnolia
2021-06,06,2021,202106,98155,"seattle, wa",*,914450,0.0451,,34,0.2593,-0.1707,33.5,0.015151515,0.175438596,40,0.1111,0,0,,,4,,-0.6667,53,-0.1017,0.1778,454.3981481,0.0906,0.2364,1805,0.1094,0.1074,1058175.974,0.0052,0.4612,87,0.0116,0.0116,1.558823529,-0.6264,0.4613,Mount Baker
2021-06,06,2021,202106,98178,"seattle, wa",,594850,-0.0224,0.0126,18,0.125,-0.4545,24,0.846153846,-0.25,24,-0.3333,-0.3333,0,,,0,,-1,51,0.5455,0.2143,359.0792983,0.0512,0.2366,1646,-0.0594,-0.2236,640883.1143,0.0114,-0.0488,69,0.4082,-0.08,2.833333333,0.7708,1.5606,Mount Baker
2021-06,06,2021,202106,98119,"seattle, wa",,965000,-0.0302,0.0722,43,0.0238,-0.1042,29,0.318181818,-0.079365079,44,-0.0833,0.2222,0,,,8,1,0,50,0.1364,0.4286,594.6848582,0.0046,0.038,1545,0.0098,-0.0071,1351089.261,-0.0057,0.0631,93,0.0814,0.1205,1.162790698,0.1152,0.4336,Columbia City
2021-06,06,2021,202106,98166,"seattle, wa",,790975,0.3756,0.0246,23,1.0909,-0.303,15,-0.423076923,-0.589041096,44,1.2,0.5714,0,,,4,0,-0.6667,29,-0.1471,0.16,378.4090241,0.0595,0.188,2480,0.3122,0.0598,986472.8909,0.3107,0.0609,52,0.1556,-0.1034,1.260869565,-1.83,0.5033,Mount Baker
2021-06,06,2021,202106,98105,"seattle, wa",,877475,-0.025,-0.1304,29,-0.0645,-0.0645,28,0.166666667,-0.291139241,32,-0.3333,0.1429,0,,,8,0,0,48,0.0909,0.4545,532.9957189,-0.0409,0.0492,1800,-0.0249,-0.1569,2225651.15,0.0464,0.7042,77,0.0267,0.2031,1.655172414,0.2358,0.5907,Laurelhurst
2021-06,06,2021,202106,98122,"seattle, wa",,649975,-0.0298,-0.0427,78,0.0833,0.2188,34.5,0.15,-0.014285714,68,-0.0556,0.5455,0,,,20,0,0,80,-0.0698,1.6667,604.1901122,-0.0137,0.0208,1107,0.0045,-0.0829,904816.708,-8.00E-04,-0.1253,158,0,0.6809,1.025641026,-0.1688,0.5569,Belltown
2021-06,06,2021,202106,98102,"seattle, wa",,707475,0.1141,-0.0654,80,-0.0698,0.1111,48.5,0.154761905,0.310810811,44,-0.0833,-0.1538,0,,,20,-0.375,-0.1667,76,-0.0732,1.303,659.3042323,-7.00E-04,0.0194,1009,0.07,-0.0298,921247.2104,-0.0107,-0.1941,156,-0.0714,0.4857,0.95,-0.0035,0.4917,Capital Hill
2021-06,06,2021,202106,98107,"seattle, wa",,775000,-0.0606,0.0266,37,0.2333,-0.2449,27,-0.15625,0.018867925,36,-0.1,0,0,,,4,-0.5,-0.6667,55,-0.0678,0.1,578.9495451,0.0177,0.0361,1408,-0.0486,-0.0157,825196.9054,-0.0405,0.0464,92,0.0337,-0.0707,1.486486486,-0.4802,0.4661,Ballard
2021-06,06,2021,202106,98116,"seattle, wa",,839000,-0.0466,0.052,44,-0.0222,-0.3529,35,0.25,0.555555556,56,0,-0.2222,0,,,12,0.5,-0.6667,65,0.0156,0.6667,554.4289044,-0.0364,0.1484,1485,-0.107,-0.1732,1026831.691,-0.0796,0.0303,109,0,0.0187,1.477272727,0.0551,0.9037,Alki Beach
2021-06,06,2021,202106,98118,"seattle, wa",,722475,0.0339,0.1606,48,-0.0204,-0.25,30.5,-0.175675676,-0.24691358,44,-0.2143,0.1,0,,,16,0.3333,0,81,0.0658,0.6531,429.3667303,0.0387,0.0902,1665,-0.0206,0,846186.0255,-0.0445,0.0904,129,0.032,0.1416,1.6875,0.1365,0.9219,Columbia City
2021-06,06,2021,202106,98121,"seattle, wa",,724744,0.1784,0.0172,47,-0.2034,-0.3286,55,0.057692308,0.447368421,24,0.2,-0.5,0,,,12,0,-0.4,65,-0.0441,0.3265,770.0651428,0.0422,0.0025,915,0.0327,-0.0804,1133143.535,0.116,0.1126,112,-0.1181,-0.0588,1.382978723,0.2304,0.683,Belltown
2021-06,06,2021,202106,98108,"seattle, wa",,675000,0,0.0112,19,0,-0.4242,24,-0.172413793,-0.225806452,32,0.1429,0.3333,0,,,0,,-1,30,0.0714,0.0345,432.2912491,-0.0273,0.1458,1568,0.0182,-0.0517,755182.5694,0.0338,0.0901,49,0.0426,-0.2097,1.578947368,0.1053,0.7002,Ballard
2021-06,06,2021,202106,98117,"seattle, wa",,849975,0.0625,0.076,37,0.1212,-0.1778,18,-0.25,-0.419354839,68,-0.1053,0.1333,0,-1,,4,0,-0.6667,89,-0.0918,0.6182,533.1481481,0.0636,0.0899,1638,-0.0477,-0.0613,962429.775,0.0683,0.0366,126,-0.0382,0.26,2.405405405,-0.5643,1.1832,Alki Beach
2021-06,06,2021,202106,98106,"seattle, wa",,600000,-0.0323,9.00E-04,27,0.2857,-0.5091,23.5,0.305555556,-0.43373494,44,0.2222,0,0,,,12,0,0,56,0.1915,0.4,436.937004,0.0248,0.1583,1219,-0.1752,-0.2079,599948.5929,-0.0445,-0.0805,83,0.2206,-0.1263,2.074074074,-0.164,1.3468,Laurelhurst
2021-06,06,2021,202106,98115,"seattle, wa",,849500,-6.00E-04,0.1403,59,0.475,0,18,-0.217391304,-0.454545455,104,0.3,0.7333,0,,,16,1,0,101,0.2785,0.8036,524.8693931,0.0165,0.0725,1533,-0.0913,-0.0478,915618.5649,-0.0478,0.0135,160,0.3445,0.3913,1.711864407,-0.2631,0.7627,Madrona
2021-06,06,2021,202106,98136,"seattle, wa",,705000,0.0383,0.0218,19,0,-0.62,25,-0.193548387,0.111111111,36,-0.1,-0.3077,0,,,4,,-0.6667,43,-0.0444,0.7917,480.0582513,-0.0477,0.0923,1315,-0.0804,-0.2006,981940.1229,0.2538,0.1632,62,-0.0313,-0.1622,2.263157895,-0.1053,1.7832,Northgate
2021-05,05,2021,202105,98136,"seattle, wa",,679000,-0.0293,-0.0014,19,0.1875,-0.4571,31,0.087719298,0.409090909,40,0.6667,0.1111,0,,,0,,-1,45,-0.0217,1.5,504.1284404,0.0227,0.153,1430,-0.0435,-0.1488,783184.4828,-0.2356,-0.0754,64,0.0323,0.2075,2.368421053,-0.5066,1.8541,Northgate
2021-05,05,2021,202105,98106,"seattle, wa",,620000,0.0509,0.0598,21,0.3125,-0.5714,18,-0.181818182,-0.64,36,0.2857,0.5,0,,,12,,0,47,-0.0208,0.88,426.3803681,0.1077,0.148,1478,-0.0669,-0.0264,627880.9048,0.0333,-0.0181,68,0.0625,-0.0811,2.238095238,-0.7619,1.7279,Laurelhurst
2021-05,05,2021,202105,98107,"seattle, wa",,825000,0.0749,0.1104,30,-0.1176,-0.2105,32,0.306122449,-0.058823529,40,0,0,0,-1,,8,0,0,59,-0.0328,0.3721,568.8622754,-0.0403,0.0169,1480,0.0732,0.0386,860040.2439,0.078,0.1031,89,-0.0632,0.0988,1.966666667,0.1725,0.8351,Ballard
2021-05,05,2021,202105,98126,"seattle, wa",,664950,0.0513,0.0076,37,0.0882,-0.075,29,-0.064516129,0.074074074,56,0.2727,0.5556,0,,,12,2,-0.4,55,0.0185,0.9643,429.2168675,-0.0314,0.0194,1390,-0.028,-0.0733,805366.3043,0.0282,0.112,92,0.0455,0.3529,1.486486486,-0.1017,0.7865,Northgate
2021-05,05,2021,202105,98155,"seattle, wa",*,875000,0.0613,,27,-0.0357,-0.2703,33,0.346938776,0.434782609,36,0.125,0,0,,,0,-1,-1,59,0.4048,0.7879,416.6666667,-0.1066,0.1111,1627,0.0429,0.0504,1052744.359,0.0151,0.522,86,0.2286,0.2286,2.185185185,0.6852,1.2933,Mount Baker
2021-05,05,2021,202105,98119,"seattle, wa",,995000,0.532,0.1117,42,0.4483,-0.0455,22,-0.083333333,-0.5,48,0.3333,0.3333,0,,,4,-0.5,0,44,0.1892,0.6923,591.9603524,0.0029,0.0603,1530,0.4154,-0.1094,1358858.296,-0.0375,0.1075,86,0.303,0.2286,1.047619048,-0.2282,0.4567,Columbia City
2021-05,05,2021,202105,98121,"seattle, wa",,615000,0.0124,-0.18,59,-0.169,-0.1324,52,-0.212121212,-0.054545455,20,-0.1667,-0.2857,0,,,12,-0.25,-0.4,68,0,0.5455,738.9162562,-0.0199,-0.0724,886,0.0326,-0.1193,1015342.7,0.004,-0.1275,127,-0.0863,0.1339,1.152542373,0.1948,0.5055,Belltown
2021-05,05,2021,202105,98122,"seattle, wa",,669950,-0.0075,-0.0759,72,0.0435,0.3091,30,0.25,-0.333333333,72,0.125,1.25,0,,,20,0.25,0.25,86,0.1467,2.0714,612.5975474,-8.00E-04,0.0511,1102,0.0055,-0.1897,905523.2747,0.2493,-0.16,158,0.0972,0.9036,1.194444444,0.1075,0.6854,Belltown
